"","av","bv","pv","av...bv"
"1",357,1644,0.993069277940697,2001
"2",49,146,0.0437077599670757,195
"3",369,1632,0.961901889365163,2001
"4",378,1623,0.896380143391661,2001
"5",59,182,0.0476908407165477,241
"6",389,1612,0.738774731153557,2001
"7",32,87,0.0380705704616536,119
"8",401,1600,0.486623333352149,2001
"9",407,1594,0.356364123020496,2001
"10",7,10,0.026657331511296,17
"11",21,51,0.0351535424325662,72
"12",61,188,0.0443503146082623,249
"13",6,9,0.04385438056448,15
"14",386,1615,0.79064475444227,2001
"15",375,1626,0.923858425154646,2001
"16",6,7,0.019405279232,13
"17",419,1582,0.150603204937621,2001
"18",387,1614,0.774052990060254,2001
"19",10,20,0.0492635173042126,30
"20",384,1617,0.821623439477988,2001
"21",421,1580,0.126243645856816,2001
"22",5,6,0.0327934976,11
"23",377,1624,0.906236055071354,2001
"24",424,1577,0.0951310693704072,2001
"25",403,1598,0.442265675267753,2001
"26",379,1622,0.885800682640244,2001
"27",11,22,0.0410883210235406,33
"28",368,1633,0.966395939080314,2001
"29",410,1591,0.296303848239473,2001
"30",12,25,0.0424277233054444,37
"31",370,1631,0.956932858785809,2001
"32",47,140,0.0470369599016435,187
"33",184,639,0.0493696895721317,823
"34",404,1597,0.420341167570075,2001
"35",384,1617,0.821623439477988,2001
"36",28,76,0.0483738603057165,104
"37",378,1623,0.896380143391661,2001
"38",52,157,0.0458505389886505,209
"39",35,98,0.0423922820901084,133
"40",383,1618,0.835982562000426,2001
"41",374,1627,0.93167249535299,2001
"42",39,113,0.0488410362597811,152
"43",394,1607,0.640010194963003,2001
"44",409,1592,0.315801182934282,2001
"45",393,1608,0.660794083224133,2001
"46",414,1587,0.224501730264263,2001
"47",11,21,0.0327104339259924,32
"48",98,322,0.0491478594176845,420
"49",136,459,0.0450684163522148,595
"50",412,1589,0.259095552284785,2001
"51",272,967,0.0459477062686516,1239
"52",12,24,0.0343574006954931,36
"53",388,1613,0.756753824871251,2001
"54",387,1614,0.774052990060254,2001
"55",383,1618,0.835982562000426,2001
"56",5,6,0.0327934976,11
"57",394,1607,0.640010194963003,2001
"58",395,1606,0.618817486564757,2001
"59",391,1610,0.700913486690339,2001
"60",397,1604,0.575449000831754,2001
"61",412,1589,0.259095552284785,2001
"62",381,1620,0.862410181386441,2001
"63",31,83,0.0351705543959539,114
"64",394,1607,0.640010194963003,2001
"65",103,338,0.0439543953398097,441
"66",377,1624,0.906236055071354,2001
"67",357,1644,0.993069277940697,2001
"68",268,954,0.0489664843117389,1222
"69",29,77,0.0373631774418809,106
"70",373,1628,0.938857405627559,2001
"71",379,1622,0.885800682640244,2001
"72",418,1583,0.163898422275078,2001
"73",371,1630,0.951456852789237,2001
"74",384,1617,0.821623439477988,2001
"75",409,1592,0.315801182934282,2001
"76",12,23,0.0274399813155349,35
